Division	Region	Brand	WrittenDate	UnitsSold
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/22/2014	38
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/23/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/24/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/25/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/26/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/27/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/28/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/29/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/30/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	3/31/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/1/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/2/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/3/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/4/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/5/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/6/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/7/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/8/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/9/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/10/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/11/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/12/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/13/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/14/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/15/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/16/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/17/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/18/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/19/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/20/2014	3
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/21/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/22/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/23/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/24/2014	11
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/25/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/26/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/27/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/28/2014	7
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/29/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	4/30/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/1/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/2/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/3/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/4/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/5/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/6/2014	14
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/7/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/8/2014	9
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/9/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/10/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/11/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/12/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/13/2014	8
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/14/2014	9
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/15/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/16/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/17/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/18/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/19/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/20/2014	10
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/21/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/22/2014	21
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/23/2014	42
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/24/2014	49
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/25/2014	41
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/26/2014	79
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/27/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/28/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/29/2014	15
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/30/2014	32
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	5/31/2014	39
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/1/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/2/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/3/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/4/2014	17
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/5/2014	18
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/6/2014	30
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/7/2014	25
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/8/2014	13
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/9/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/10/2014	16
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/11/2014	8
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/12/2014	20
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/13/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/14/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/15/2014	12
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/16/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/17/2014	45
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/18/2014	39
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/19/2014	23
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/20/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/21/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/22/2014	24
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/23/2014	33
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/24/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/25/2014	27
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/26/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/27/2014	38
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/28/2014	51
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/29/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	6/30/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/1/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/2/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/3/2014	37
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/4/2014	69
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/5/2014	76
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/6/2014	54
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/7/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/8/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/9/2014	19
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/10/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/11/2014	28
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/12/2014	48
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/13/2014	38
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/14/2014	36
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/15/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/16/2014	26
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/17/2014	34
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/18/2014	53
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/19/2014	51
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/20/2014	22
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/21/2014	39
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/22/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/23/2014	31
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/24/2014	34
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/25/2014	50
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/26/2014	61
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/27/2014	56
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/28/2014	35
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/29/2014	30
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/30/2014	40
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	7/31/2014	42
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/1/2014	54
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/2/2014	69
Mid-Atlantic	Atlantic Coast	HAMPTON & RHODES	8/3/2014	50
